colors	Bannagalu
Thank you 	 Vandenegalo 
You’re Welcome  	 Tamage suswagatha
Yes  	 Havdu
No 	 Illa
Excuse me (getting attention)  	Illinodi 
Excuse me  (begging pardon)	  K-shamisi
I’m Sorry.  	Nannindha thappaihu
Good morning   	 Shubha munjane
Good evening  	Shubha sanje
Good night    	Shubha ratri
Mother 	Amma / taayi
Father	 Appa / tande
Son	 Maga
Daughter	 magaLu
Elder Brother	 aNNa
Younger Brother	 Tamma
Elder Sister	 Akka
Younger Sister 	Tangi
Grandfather 	Ajja / taata
Grandmother 	Ajji
Husband	 ganDa
Wife 	henDathi
Children	 makkaLu
Breakfast	 Thindi
 Lunch 	Oota
 Eggs 	Motte
Rice 	Anna
Coffee 	Kaapi
 Water	 Neeru
 Beans 	huraLikaayi
Potato	 Aaloo geDDe
Apple 	sEbu
Orange	 kittaLe
Vegetables 	Tarakaarigalu
Salad	 kOsaMbari
Butter	 beNNe
Milk	 Haalu
Sugar	 Sakkare
Tea 	Chaa
How much is this? 	Idhakke yeshtu
 I don’t want it. 	Nanige beda.
Expensive	 Dhubaar
I can’t speak Kannada (well).	     Nanage Kannada barodilla.
 Do you speak English? 	         Nimage English baruththaa?
Help! 	Sahaaya maadi
 Look out!	 Jopaana
 I don’t understand	 Nanage artha vaguthilla
Where is the toilet?	 Shouchalaya
 Police!	 Arakshaka
I need your help. 	Nimma sahaya bekagidhe.
 I’m lost.	 Nanage daari thappide.
 I lost my bag.	 Nanna cheela kaledu hoyithu.
 I need a doctor 	Nanage doctor beku.
 Who? 	Yaaru
Where?	 Elli
When?	 Yaavaga
Why?	 Yaake/Eke
What?	 Enu
Which?	 Yaava/yavudu
I don’t know. 	Gottilla
My family is here.	nanna kuṭumba illi ide.
I am here.	Nanu illi iddene.
You are here.	Ninu illiddiya.
He is here and she is here.	Avanu illiddane mattu avaḷu illiddaḷe.
We are here.	Navu illiddeve.
You are here.	Nivu illiddiri.
They are all here.	Avarugaḷellaru illiddare
We are a family.	navu onde sansaradavaru .
The family is not small.	I sansara cikkadalla
The family is big.	I kutumba doddadu
this thing (this one)	idu
that thing (that one)	adu
why are you leaving early today?	 neenu yaake idinaa begaa hogu-ta-idiya?
I have some work today, that's why I am leaving early.	 idinaa/indu nanage swalpa kelasa ide, addarinda naanu begane hogu-ti-dini.
why do you come late? 	neenu eke taDa-wagi baruttiya? 
why you came late? 	neenu eke taDa-wagi bande? 
What is the price? 	Idakke yeshtu kraya?
I don't understand 	Nanige artha aagalilla 
Tell me the way please 	Swalpa daari helikodutheera 
What is your name? 	Nimma hesaru yenu 
My name is 	Nanna hesaru 
Where can I find 	  Yelli siguvuthade 
I want water 	Nanige neeru beku 
I want a ticket 	Nanige Ticketu beku 
Where is the toilet	 Toilet yelli ide 
I have come from Australia	 Nanu Australia dinda 
Are you open tomorrow	 Neevu nale thegdideera 
Is this very far	 Idu thumba doora ida? 
How much is this 	Idakke yeshtu kraya? 
This is too expensive	 Idakke kraya jasthi 
Make this price less	 Swalpa kammi maadi 
How are you?        	Neevu hege iddeera?    
Which is your favourite colour?	Ninna istavadha banna yavudhu?/ Ninege yava banna ista?
In which room did you sleep?	Neenu yava koneyalli malaghidhe?
Which story did you tell?	Neenu yava khathe helidhe?
Which is the sweetest fruit?	Yallakintha saviyatha hannu yavudhu?
Which is the best newspaper in Hindi?	Hindiya yava patrike sarvashresta?
Which Indian state has the largest population?	Bharatha deshada yava rajyadalli jasti janasankye?
Where did you come from?	Neenu yellindha bandhe?/ Ninna ooru yavadhu?
Where did you sleep?	Neenu yelli malaghidhe?
Where is the manager’s cabin?	Managerina kone yavudhu?
Where should I go?	Nanu yellige hogabeku?
Whom should I contact?	Nanu yaranna samparkisabeku?
Is it a book?	Idu pustakava?/ Idu pustaka naa?
It is a book	Ide pustaka
Is it the answer?	Idu uttarana?
It is the answer	Ide uttara
Will you come with me?	Neenu nanna joteghe baaruthiya?
I shall come with you.	Naanu ninna jotege barythene
Will you give me your pen?	Ninna pennu/ kalam nanage koduthiya?
Yes, of course.	Avashyavaghi koduthene
Do you love me?	Neenu nannannu preethisuthiya?
Yes, I love you.	Hovadhu naanu ninna preethisuthene
Can you give me your pen?	Nanege ninna penana kodabhahudha?
Can you lift the box?	Neenu dabbiyanna yethe balliya?
Can you write the exam?	Ninindha parikshe bariyalu sadyana?
Did you have lunch?	Oota madhidheya?/ Oota aayitha?
How are you?	Hegiddhiya?/ Neenu heghiddhiya?
I am fine	Nanu chenagiddene.
He is eating an apple	Avanu sebu thinnuthidhane
He ate an apple	Avanu sebu thindhanu
I saw the film last week	Nanu hodha wara picture/ chalanachitra nodidhanu
She came by bus yesterday	Avalu ninne businalli bandhalu
They went to the mosque	Avaru darga ge hodharu
He slept the whole night	Avanu eedi raatri malaghidhanu
He wrote well in the examination	Avanu pariksheyalli chennaghi baredhanu
He has eaten	Avanu thindhidhane
He will eat	Avanu thinnuthane
He will go	Avanu hoguthane
He will come	Avanu baruthane
What is your name?	Ninna hesarenu?/ Ninna hesaru yenu?
What	Yenu?
Your	Ninna
Name	Hesaru
What did you do?	Neenu yenu maduthiya?
What should I do?	Nanu yenu madabeku?
What can I do?	Nanu yenu madabhahudhu?/ Nanu yenu madaballe
What are the questions?	Yenu prashnegalu?
What were the questions?	Yenu prashnegaliddhavu?
What is the last question?	Koneya prashne yenu?
What is written in the letter?	Pattradhalli/Kaagadhadalli yenu baredhidhe?
What you had been told?	Ninege yenu helabekithu?
What will be the answer?	Uttara yenirabhahudhu?
Why did you come?	Neenu yaake bandhe?
Why did you sleep?	Neenu yaake malaghidhe?
Why did you tell him to go?	Neenu avanige yakee hoghalikke hellidhe?
Why did he bring the bag?	Avanu yaake cheela thandhanu?
Why did she pay the money?	Avalu yakee dhuddu kottalu?
Why did they sit there?	Avaru alli yakee kootharu?
Why do you drive the car?	Neenu yakee gaadi chalayisuthiya?
Why are they late for the meeting?	Avaru meetingige yaake thadavadharu?
How did you come?	Neenu hege bandhe?
How did you sleep?	Neenu hege malaghidhe?
How did you drive?	Neenu hege gaadi chalayisidhe?.
How did you write?	Neenu hege baredhe?
How many apples are there in my hand?	Nanna kaiyalli yestu sebu idde?
How many did you take?	Neenu yestu thagedhukonde?
How much did he pay you?	Avanu ninage yestu hana kottanu?
How much distance to go?	Yestu doora hoghabheku?
How was the journey yesterday?	Ninneya prayana heghithu?
Which way did you come?	Neenu yaava daariyalli bandhe?
  Good morning sir	namaskaara saar.
who are  you (polite) ?	namaskaara niivu yaaru ? 
 Which is his/her native Place ?  	avara uuru yaavudu ?
 Whis is / her state ?	ivaru raajya yaavudu ?
 Which is your district ?	nimma jille yaavudu ?
My state is Karnataka	nanna raajya KarnaaTaka
His/her native place is Mysore	avaru uuru mayasuuru
His/her district is Tumkur	ivara jille tumakuuru
 Which book is this (prox.) ?	idu yaava pustaka ?
 This is a novel	idu kaadambari
My name is xxx	Nanna hesaru xxx.
 What is your name?	Nimma hesaru enu?
 How much does it cost?	Idakke eshtu duddu?
 What's the time?	Time eshtu?
 Where is the railway station ?	Railway station/police station [or any other place xyz] elli barutte?
 Amazing.	Adhbutha
 How are you ?	Neevu hengidira?
 I'm fine thankyou.	Naanu channagidini dhanyavaada. 
 Are you well?	Hushaaragiddira?
 I don't speak Kannada fluently.	 kannada sariyagi baralla.
 Sorry.	Kshamisi.
 It's ok.	Parvaagilla.
 I don't want this.	Beda.
 I want this.	Beku. 
 No.	Illa.
 Yes.	Howdu.
Rice, dal, wheat, gold, silver, diamond, black, white, red,green, yellow.	Akki, baele, godhi, chinna, belli, vajra,kappu, bili, kempu, hasiru, haladi.
 Please give me some water.	Swalpa neeru kodi.
 Dog, cat, bird, butterfly, donkey, cow.	Naayi, bekku, hakki, chitte, katte, hasu.
What is your name?	nimma hEsarEnu?
My name is mamatha	nanna hEsaru mamatha
How much do you charge?	neevu eshTu duDDu thagothiraa?
Your are expensive, I can not afford	neevu duDDu jaasthi keLuthira, naanu aShTu koDuvudakke aagolla
Call me if you are not coming	neevu baralilla andhre, call- maaDi
Do not come tomorrow	naaLe barabEDi
Dispose the thrash	kasavannu horagaDe haaki
Will you carry the extra food?	neevu extra aDugeyannnu thagonDu hoguthira?
I have some old clothes for you	nanna hattira nimage swalpa haLe baTTe ide
Will you provide additional help if I require?	nanage innu help bekaadare, neevu help maaDuthiraa?
Will you work at my friends place?	neevu nanna friend maneyalli kelsa maaDuthiraa?
You should wash the car daily	neevu car-annu daily wash maaDabEku
Where is your house?	nimma mane elli ide?
Which cars have you driven	yaava car-gaLanna neevu ODisideera?
What is your mobile number?	nimma mobile number enu?
Take down my mobile number	nanna mobile number thagolli
What time can you come?	neevu yaava time-ge baruthiraa?
You come by 8am	neevu belagge 8'0clock ge banni
Wear clean clothes	clean baTTe haakikoLLi
Pls. drive slowly	dayaviTTu (gaaDiyannu) nidhaanavaagi chalaisi
Turn right	Right thirugi
Turn left	Left thirugi
Go straight	Straight hOgi
What is the cost of tomato	Tomato bele eShTu
What is the cost of apple	Apple bele eShTu
Pls. weigh correctly	dayaviTTu sariyaagi tooka maaDi
Sorry I donot have change	Kshamisi nanna hattira change-illa
Give the change	Change-koDi
Give the change next time	Change next time koDi
Pls. remove damaged / rotten ones	dayaviTTu damage-aagirodanu thegeyiri
I don't want cover	nanage cover-beDa
I have a bag	nanna hathira bag-ide
I don't want cover, I have a bag	nanage cover-beda, nana hathira bag-ide
Give a cover	Cover-koDi
Give a paper bag	paper bag-koDi
I don't want cover, give me a paper bag	nanage cover-beDa, paper bag-koDi
For sweeping	kasa guDisOke
Pls. be on time	dayaviTTu time sariyaagi banni
What time can you come?	neevu yaava time-ge baruthiraa?
You come by 6 am	neevu beLagge aaru ganTege barabEKu
Take down my mobile number	nanna mobile number thagoLLi
What is your mobile number?	nimma mobile number Enu?
Where is your house?	Nimma mane elli ide?
Which other houses do you work here?	neevu illi bEre yaava manegaLalli kelsa maaduthiraa?
Your are expensive, I can not afford	neevu duDDu jaasthi kELuthira, naanu aShTu koDuvudakke aagolla
How much do you charge?	neevu eShTu duDDu thagothiraa?
My name is mamatha	Nana hesaru Mamatha
What is your name?	nimma hesarEnu ?
For moping	nela oresOke
For washing clothes	baTTe ogeyoke
For washing utensils	paatree tholeyOke
For cooking	aDuge maaDOke
What is your name?	nimma hesarEnu?
how do i go there?	allige naanu hEgE hOguvudu?
how much is this?	idhu yeShTu?
Where is your house?	nimma mane elli idhe?
where is the nearest police station ?	hathiradha police station yelli idhe?
where can i go shopping ?	naanu shopping maaDalu yelli hOga beku
can you help me ?	nanage sahaaya maaDuvira?
what are you doing ?	neevu yenu maaDuthidheera?
would you join me for lunch today ?	eedina nanna jothe oota maduvira?
how do i go to the airport ?	naanu airport ge hEgE hOguvudhu?
where shall we meet ?	naavu yelli bhETi aagoNa?
was there a call for me?	nanage yaraadharu call maaDidhara?
what did you do?	neenu yenu maaDiruve ?
what will you do?	neenu yenu maaDuthiya?
what should i do?	naanu yenu maaDabeku?
What can I do?	naanu yenu maDabhahudu?
What are the questions?	yaava prashnegaLu?
Why did you come?	Neenu yaake bandhe?
How did you come?	neenu hEgE bandhe?
How did you write?	neenu hEgE baredhe?
How much distance to go?	yeShTu doora hOgabeku?
How was the journey ?	prayaaNa hEgitthu?
Which way did you come?	Neenu yaava daariyalli bandhe?
Which is your favourite colour?	ninage yaava banna iShTa?
Where did you come from?	neenu yellindha bandhe?
Whom should I contact?	naanu yarannu samparkisabEku?
Will you come with me?	neenu nanna jothege baruveya?
I shall come with you	Naanu ninna jothege baruve
Did you have your lunch?	oota maaDideya?
How are you?	neevu hegiddhira?
I am fine	naanu chenagiddEnE
Are you busy?	neenu busy idhiya?
I am busy now	naanu eega busy ideeni
I am busy now	
I Like Bangalore	nanage bengaLuru ishta
Can you speak Kannada ?	nimage kannaDa maathanaDalu barutha?
Yes, I can speak in Kannada	haudhu, nanage kannaDa maathanaDalu baruthe
I don't know	nanage baruvudhila
Stop	Nillisi
Do not talk on phone while driving	Drive-maaduvaaga phone maaDabeDi
Do not talk on phone while driving	
Wear seat belt	Seat belt haakikoLLi
Do not jump signals	Signal haarisabeDi
Mind the road humps	Road naliruva humps nODi (gaaDi) chalaisi
Pls. wait for 5mins, I will come	dayaviTTu 5mins wait-maaDi, naanu baruthEnE
Come on time tomorrow	naaLe time sariyaagi banni
Why didn't you come yesterday?	neevu nenne yaake baralilla?
Call me if you are not coming	neevu baralilla andhre, call- maaDi
Do not come tomorrow	naaLe barabEDi
How many days leave do you want?	nimage eShTu dina raje bEku?
Do not drink and drive	kuDidhu drive maaDabeDi
How much would you charge for cooking?	neevu aDuge maaDOke eShTu duDDu thagothiraa?
How much would you charge for sweeping, moping and washing utensils?	neevu kasa gudisOke, nela oresOke matte paatre tholeyOke eShTu duDDu thagothiraa?
You have to sweep daily and mop on alternate days	neevu dinaa kasa guDisi, eraDu dinakke omme nela oresabEku
While mopping change water frequently	nela oresuvaga neerannu badalaayisutha iri
How many dishes will you cook daily?	dinakke eShTu vidhavaada aDuge maaduthiraa?
Cook chapathi, rice, one subzee and daal daily	neevu dinaa chapathi, anna, ondu subzee matte dhaal maaDbeku
You cut the vegetables required for cooking	neevu aDugege bEkaada vegetables cut-maaDi
Do not make the food spicy	aDuge khaara maaDabEDi
The food you cooked was spicy	neevu maaDidha aDuge khaaravaagittu
Make the food less spicy	aDugeyalli khaaravannu kaDime maaDi
Food was very yummy	aDuge chennagi ithu
Pls. come early tomorrow	dayaviTTu naaLe bega banni
Work slowly	Slow-aagi kelsa maaDi
Be careful with things	vasthhugala bagge hushaaru
Maintain cleanliness	kelasa clean-aagi maaDi
Why didn't you come yesterday?	neevu nenne yaake baralilla?
Welcome.	susvagata
Hello (General greeting) 	(namaste) (namaskara)
How are you?	 (hegiddera?) (athava kshemana?)
Reply to 'How are you?	 (nan cennagiddene, nivu heg'iddira?)
Long time no see	(tumba divasagalinda kanisalilla)
What's your name? 	(ninna hesarenu?) - sg (nimma hesarenu?) - pl/frm
My name is 	(nanna hesaru ...)
Where are you from? 	(nimma ooru yavudu?) (athava nevu yava kadeyavaru?)
I'm from ... 	(na ... linda bandiddini) (na ... linda bandeni)
Pleased to meet you 	(nimmannu bheti madiddakke santosha)
Good morning (Morning greeting)	(shubhodaya)
Good afternoon (Afternoon greeting) 	(shubha madhyahna)
Good evening (Evening greeting)	(shubha sayankala)
Good night 	(shubharatri)
Goodbye (Parting phrases) 	 (hogi banni athava hogi bartera?)
Good luck!	(olleyadagali athava shubhavagali)
Cheers! Good Health! (Toasts used when drinking)	(tumba santosha athava khushiyaytu)
Have a nice day	(shubha dinavagali)
Bon appetit Have a nice meal	(uta saviyiri) (uta anandisi) (uta bhojana saviyiri) (uta bhojana anandisi)
Bon voyage Have a good journey	(prayana sukhakaravaagirali hogi banni)
Do you understand?	 (nimage arthavagatta?)
I understand	(nanag arthavagatta)
I don't understand 	(tili'lilla) (nanag artha ag'lilla)
Please speak more slowly	(salpa mellage mata?i)  (salpa nidhana'vagi mata?i)
Please say that again	(innomme he?i) (inn'ond'sala he?i)
Please write it down	(bared' ko??'ri)
Do you speak Kannada?	(neevu kannada maataadteera?)
(reply to 'Do you speak ...?')	(houdu, svalpa svalpa barutte)
How do you say ... in Kannada?  	(kannadadalli hege helodu?)
Excuse me 	 (kshamisi)
How much is this?  	 (idara bele eshtu?)
Sorry	(kshamisi)
Please	(dayavittu)
Thank you 	(dhanyavada) (dhanyavadagalu)
Reply to thank you	(yake summane ?hanksu?) (parwagilla bi?i)
Where's the toilet / bathroom?	(saucalaya ellide?) (?ayle? ellide?)
This gentleman will pay for everything	(ee mahaashaya ne ellaa paavati maadtaare ivattu)
This lady will pay for everything	(ee maharaayti ne ellaa paavati maadtaare ivattu)
Would you like to dance with me?	(neevu/neenu nanna jote dyaans maadteera/yaa?) athavaa nartisteera/yaa?)
I love you	(naa ninna preetisteeni)
Get well soon	(bega gunamukharaagi anta haaraisuttene)
Leave me alone!	(nann' pa?ige nanag' bi??'bi?i!)
Help! 	(nanna kapadi!) (kapadi!)
Fire!	(benki!)
Stop!	(nilli!) (nillisu!)
Call the police! 	(polees?ge kare maadi!) (polees?ge tilisu!)
Christmas greetings   	(kris mas habbada shubhaashayagalu)
New Year greetings	(hosa varshada subhasaya)
Easter greetings    	(istar habbada shubhaashayagalu)
Birthday greetings	(huttu habbada subhasaya)
Congratulations!	(Abhinandanega?u!)
One language is never enough	(onde bhaashe saalalla athavaa saalodilla)
Why this phrase?	(Nanna yantrikado?i havuminuga?inda tumbide)
Hi:  	 [Namaskara]
What is your name?   	[Nim'ma hesaru enu]
Nice to meet you:	 [Nim'mannu nodi tumba santosha] 
How are you? 	 [Nivu hege iddira]
I'm good, thanks:   	[Nanu cennagi iddene, dhan'yavadhaga?u]
And you?:   	[Tavu] 
Do you speak (English/Kannada)   	[Nivu kanna?a/ i?gli? matana?utira]
Does she speak Chinese?:  	 [Ava?u cainis matana?uva?e?] 
A little bit:    	[Svalpa]
How old are you?: 	 [Nimage e??u var?a] 
I'm 33 years old:  	 [Nannage muvatamuru var?a]
It was nice talking to you:  	  [Nim'ma jote matana?i kusi ayitu]
What do you mean?:  	 [Enu nim'ma artha] 
I don't understand: 	 [Nanage artha agalilla] 
I don't know: 	 [Nanage gottilla]
Sorry:  	 [Kshamisi]
What is that called in Kannada?:  	 [Kannadadalli adakke enu kareyuttare] 
What does that word mean in English?: 	  [Adakke i?gli?inalli enu annuttare] 
Where are you from?:    	 [Nivu yava urinavaru]
I'm from the U.S: 	 Nanu amerikadinda bandiddene]
I'm American:   	 [Nanu amerikadavanu]
Where do you live?:    	 [Nivu elli vasisuviri]
I live in the U.S:  	  [Nanu amerikadalli vasisuttene]
What do you do for a living?:   	[Nim'ma udyoga enu]
I'm a student:   	[Nanu vidyarthi]
Can I help you?	 [Nanu nimage sahaya ma?abahude] 
Can you help me?	:[Nivu namage sahaya ma?uvira]
Where is the airport?	 [Vimana nilda?a elli]
Go straight:   	[Nerakke hogi] 
Then	 [Amele]
Turn left	 [Edakke tirugi] 
Turn right	 [Balakke tirugi] 
Happy birthday	 [Hu??u habbada subhasayaga?u]
Happy new year	 [Hosa var?ada subhasayaga?u] 
Merry Christmas:  	 [Krismasna subhasayaga?u]
Good luck: 	 [Gu? lak]
Congratulations:   	[Abhinandanegalu]
I have a reservation:   	[Nanna hattira misalati ide] 
